id,category,hook,uses
HOOK-001,yum! food hooks,What we would order at yum! on a first visit.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-002,yum! food hooks,The lunch decision in three shots.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-003,yum! food hooks,This is your sign to order the soup and sandwich.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-004,yum! food hooks,The last ten seconds before your pickup is ready.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-005,yum! food hooks,"A Minnesota weather forecast, but for lunch.","caption opener, on-screen text, spoken hook, or paid headline"
HOOK-006,yum! food hooks,"Breakfast, lunch, dinner, or bakery: choose your lane.","caption opener, on-screen text, spoken hook, or paid headline"
HOOK-007,yum! food hooks,What goes from the yum! kitchen to your takeout bag.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-008,yum! food hooks,The order for when nobody agrees on dinner.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-009,yum! food hooks,"Four kitchens, one very useful menu.","caption opener, on-screen text, spoken hook, or paid headline"
HOOK-010,yum! food hooks,The plate that makes the drive home worth it.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-011,bakery hooks,First look at today's bakery case.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-012,bakery hooks,From the tray to the case in ten seconds.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-013,bakery hooks,Pick one before the lunch rush does.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-014,bakery hooks,The part of the order you save for later.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-015,bakery hooks,What the bakery team takes home.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-016,bakery hooks,The meeting tray people notice first.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-017,bakery hooks,A bakery box is a dinner plan.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-018,bakery hooks,This-or-that from the real case today.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-019,bakery hooks,The case looked like this at {CAPTURE_TIME}.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-020,bakery hooks,Bring dessert starts here.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-021,catering hooks,The office lunch upgrade nobody complains about.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-022,catering hooks,What a room-ready yum! order looks like.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-023,catering hooks,Pack boxed lunches with us.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-024,catering hooks,Five things to settle before you feed the room.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-025,catering hooks,Do not forget the bakery tray.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-026,catering hooks,The meeting is booked. Is lunch?,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-027,catering hooks,Catering add-ons that make the table feel finished.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-028,catering hooks,From pickup counter to conference room.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-029,catering hooks,The lunch plan for people who plan every lunch.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-030,catering hooks,What office managers should send in the first catering note.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-031,Patticake birthday hooks,A birthday cake that does not feel like a backup plan.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-032,Patticake birthday hooks,Cut the first slice with us.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-033,Patticake birthday hooks,"Birthday pickup, handled.","caption opener, on-screen text, spoken hook, or paid headline"
HOOK-034,Patticake birthday hooks,The message goes on before the candles do.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-035,Patticake birthday hooks,An office birthday that looks planned.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-036,Patticake birthday hooks,The birthday part everyone waits for.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-037,Patticake birthday hooks,What to send the person who says they need nothing.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-038,Patticake birthday hooks,"Cake in the passenger seat, careful turns only.","caption opener, on-screen text, spoken hook, or paid headline"
HOOK-039,Patticake birthday hooks,The graduate gets the first slice.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-040,Patticake birthday hooks,Three birthday details to settle before pickup.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-041,Patticake gifting hooks,"Send cake, not a card.","caption opener, on-screen text, spoken hook, or paid headline"
HOOK-042,Patticake gifting hooks,"Thank you, but make it cake.","caption opener, on-screen text, spoken hook, or paid headline"
HOOK-043,Patticake gifting hooks,Pack a Patticake with us.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-044,Patticake gifting hooks,The client thank-you that gets opened first.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-045,Patticake gifting hooks,"A little Twin Cities, sent home.","caption opener, on-screen text, spoken hook, or paid headline"
HOOK-046,Patticake gifting hooks,The note is part of the gift.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-047,Patticake gifting hooks,What to send after they really showed up.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-048,Patticake gifting hooks,Just because has four better reasons.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-049,Patticake gifting hooks,Flowers were expected. Cake was not.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-050,Patticake gifting hooks,A gift meant to go in the middle of the table.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-051,shipping and unboxing hooks,From yum! bakery to their first slice.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-052,shipping and unboxing hooks,Unbox first. Read the note second.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-053,shipping and unboxing hooks,What gets checked before the box closes.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-054,shipping and unboxing hooks,The delivery date is part of the gift.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-055,shipping and unboxing hooks,A shipping video with the label kept private.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-056,shipping and unboxing hooks,The cake journey in fifteen seconds.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-057,shipping and unboxing hooks,Open the blue box with us.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-058,shipping and unboxing hooks,Why the message card gets one more check.,"caption opener, on-screen text, spoken hook, or paid headline"
HOOK-059,shipping and unboxing hooks,The tracking update is not the best part.,"caption opener, on-screen text, spoken hook, or paid headline"
