id,platform,caption,cta
patticake-ship-a-cake-square,instagram_feed_square,"ship a cake. Fresh cake, a personal note, and an easy way to share it. Order patticake at yumkitchen.com/patticake.",Order patticake
patticake-just-because-portrait,instagram_feed_portrait,just because deserves cake. Pick a date. Add a note. Send cake. Ship a cake at yumkitchen.com/patticake.,Ship a cake
patticake-slice-story,instagram_story,"one cake, three ways to share it. Ship it, pick it up, or meet us at yum! Kitchen and Bakery. Start an order at yumkitchen.com/patticake.",Start an order
patticake-gift-box-reel-cover,instagram_reel_cover,send a cake worth remembering. A real bakery cake with a note that feels personal. Order patticake at yumkitchen.com/patticake.,Order patticake
patticake-message-carousel-square,instagram_carousel_square,"pick the message. Birthday, thank you, just because, miss you, or your own note. Make it personal at yumkitchen.com/patticake.",Make it personal
patticake-og-share-card,open_graph,"patticake. A real scratch bakery cake, shipped to your door. Send cake at yumkitchen.com/patticake.",Send cake
yum-made-from-scratch-square,instagram_feed_square,"made from scratch with love. Breakfast, lunch, dinner, bakery, and four neighborhood kitchens. Order online at yumkitchen.com.",Order online
yum-breakfast-portrait,instagram_feed_portrait,start with breakfast. Open daily 8am to 8pm at all four restaurants. Find a kitchen at yumkitchen.com.,Find a kitchen
yum-catering-portrait,instagram_feed_portrait,"feed the room. Boxed lunches, trays, bakery, and easy group ordering. Plan catering at yumkitchen.com.",Plan catering
yum-soup-sandwich-square,instagram_feed_square,"soup and sandwich season. Come in, order ahead, or take it home. Order online at yumkitchen.com.",Order online
yum-four-locations-story,instagram_story,four Twin Cities restaurants. St. Louis Park. Shady Oak. St. Paul. Woodbury. Find us at yumkitchen.com.,Find us
yum-bakery-case-square,instagram_feed_square,"bakery case favorites. Cookies, bars, cupcakes, pies, and cakes made fresh. Visit yum! at yumkitchen.com.",Visit yum!
yum-restaurant-behind-patticake-portrait,instagram_feed_portrait,the restaurant behind patticake. Made by the yum! Kitchen and Bakery team. Meet yum! at yumkitchen.com.,Meet yum!
yum-catering-og-share-card,open_graph,catering made easy. Fresh and friendly food for your next group order. Plan catering at yumkitchen.com.,Plan catering
yum-since-2005-square,instagram_feed_square,"made from scratch since 2005. Food, bakery, and hospitality from the Twin Cities. Visit yum! at yumkitchen.com.",Visit yum!
patticake-wedding-portrait,instagram_feed_portrait,"cake for the table. Custom notes, easy gifts, and real bakery layers. Start a cake at yumkitchen.com/patticake.",Start a cake
patticake-thank-you-square,instagram_feed_square,"thank you needs cake. A small note, a big slice, and something sweet to share. Send thanks at yumkitchen.com/patticake.",Send thanks
yum-order-story,instagram_story,order online. Pick your kitchen. Choose your favorites. Keep dinner easy. Order now at yumkitchen.com.,Order now
patticake-send-cake-reel,reel_or_story,send a cake worth remembering. Pick a date. Add a note. Share the love. Order patticake at yumkitchen.com/patticake.,Order patticake
patticake-layers-reel,reel_or_story,"real bakery layers. Chocolate cake, vanilla buttercream, and a message made for the table. Ship a cake at yumkitchen.com/patticake.",Ship a cake
yum-made-scratch-reel,reel_or_story,"made from scratch with love. Breakfast, lunch, dinner, and bakery every day. Order online at yumkitchen.com.",Order online
yum-catering-reel,reel_or_story,"feed the room. Catering for meetings, teams, celebrations, and everyday groups. Plan catering at yumkitchen.com.",Plan catering
yum-patticake-feed-motion,feed_motion,bakery case to cake box. Visit yum! or send patticake. Share the love at yumkitchen.com.,Share the love
yum-four-locations-motion,reel_or_story,"four Twin Cities kitchens. St. Louis Park, Shady Oak, St. Paul, and Woodbury. Find us at yumkitchen.com.",Find us
yum-patticake-horizontal-motion,landscape_motion,"fresh food. real cake. one yum! family.. Breakfast, lunch, dinner, bakery, catering, and patticake. Visit yum! at yumkitchen.com.",Visit yum!
