id,category,caption,cta,best_channel,funnel_stage,suggested_visual
CAP-001,A. yum! local restaurant,"Lunch does not need a committee. Pick your nearest yum!, choose what sounds good, and send the order to the kitchen.",Order Online,Instagram Feed,conversion,"Pickup bag, counter handoff, and current meal."
CAP-002,A. yum! local restaurant,"Breakfast, lunch, dinner, and the bakery case all live under one red circle. Start with the menu, then choose your Twin Cities kitchen.",See the Menu,Facebook,consideration,Four quick daypart cuts and the yum! logo.
CAP-003,A. yum! local restaurant,"The St. Louis Park move: order ahead, swing by Minnetonka Boulevard, and let dinner be handled.",Order from St. Louis Park,Instagram Feed,conversion,St. Louis Park exterior and pickup handoff.
CAP-004,A. yum! local restaurant,"Shady Oak has your weekday lunch plan. Check the current menu, order from the Minnetonka kitchen, and pick it up on your schedule.",Order from Shady Oak,Facebook,conversion,Shady Oak storefront and plated lunch.
CAP-005,A. yum! local restaurant,"On Snelling and hungry? Start with the St. Paul menu, then decide whether this is a table day or a take-it-home day.",Visit St. Paul,Instagram Feed,consideration,"St. Paul room, food, and carryout bag."
CAP-006,A. yum! local restaurant,"East metro dinner can be this simple: choose Woodbury, place the order, and bring yum! home.",Order from Woodbury,Facebook,conversion,Woodbury exterior and family pickup.
CAP-007,A. yum! local restaurant,"First visit? Start with the craving, not the whole menu. Soup and sandwich, breakfast, salad, dinner, or something from the bakery case.",Explore the Menu,Instagram Carousel,consideration,Five-card first-order guide using current categories.
CAP-008,B. yum! bakery,The bakery case is not background scenery. It is the part of the order you decide on after you thought you were done.,Find a Location,Instagram Reel,consideration,Slow case scan ending on a bakery box.
CAP-009,B. yum! bakery,"Morning restock, one tray at a time. This is what the bakery case looked like at {CAPTURE_TIME} in {LOCATION}.",Stop By Today,Instagram Stories,conversion,Time-stamped tray-to-case footage.
CAP-010,B. yum! bakery,A meeting tray that makes the conference room feel less like a conference room.,Plan Catering,LinkedIn,consideration,Bakery tray arriving on a meeting table.
CAP-011,B. yum! bakery,Pick the meal. Then pick the thing you are saving for later.,See the Bakery Menu,Instagram Feed,conversion,Meal beside a boxed bakery item.
CAP-012,B. yum! bakery,This-or-that from the real {LOCATION} bakery case. Vote before somebody else takes your pick.,Vote in Stories,Instagram Stories,engagement,Two same-day case items with poll sticker.
CAP-013,B. yum! bakery,The tray is full now. The case may not be later. Check your nearest yum! for today's bakery selection.,Find Your yum!,Google Business Profile,conversion,Fresh tray with location label.
CAP-014,B. yum! bakery,Bring dessert is a complete dinner plan when the dessert comes from the yum! bakery case.,Find a Location,Facebook,consideration,Hands placing bakery box on a home table.
CAP-015,C. yum! catering,"The office lunch upgrade nobody complains about: a room-ready spread, a pickup plan, and bakery add-ons people notice.",Start a Catering Note,LinkedIn,conversion,Wide catering spread plus labels and bakery tray.
CAP-016,C. yum! catering,"Boxed lunches are easier when the details are settled before pickup. Tell us the date, group size, location, and what the room needs.",Plan Catering,Facebook,conversion,Box assembly and inquiry-form screen.
CAP-017,C. yum! catering,The meeting is on the calendar. Lunch should be too. Start the catering note before it becomes tomorrow's problem.,Get a Quote,Instagram Feed,conversion,"Calendar, catering boxes, and table setup."
CAP-018,C. yum! catering,"Main meal, sides, bakery, pickup. Save this four-part checklist for the next time you feed the room.",View Catering,Instagram Carousel,consideration,Four-card catering checklist.
CAP-019,C. yum! catering,A bakery tray is not an afterthought. It is the part the room remembers after the slides are closed.,Add Bakery to the Plan,LinkedIn,consideration,Bakery tray beside laptops and coffee.
CAP-020,C. yum! catering,Planning lunch for more than your usual table? Start with a catering note so the yum! team can help route the details.,Start a Catering Note,Google Business Profile,conversion,Pickup-ready trays at the counter.
CAP-021,C. yum! catering,"For best availability, the current yum! catering page asks for 24 hours of notice for most pickup orders. Bigger plans should start with a note or a call to the pickup restaurant.",Plan Catering,Facebook,conversion,Catering page and real pickup handoff.
