id,category,description,orientation,use_case,priority,notes,props,channels
SHOT-001,Food,Soup steam with spoon entering frame,vertical and square,comfort-food Reel opener,P0,Backlight steam and keep the bowl label-free.,"Current soup, spoon, clean table","Reels, TikTok, Feed, GBP"
SHOT-002,Food,Sandwich cut and cross-section,vertical,menu feature and lunch ad,P0,Cut once on camera and hold the cross-section for two seconds.,"Verified sandwich, knife, plate","Reels, Shorts, paid"
SHOT-003,Food,Breakfast assembly at the pass,vertical,daypart Reel,P1,"Capture hands and sequence, not a static plate only.",Verified breakfast order,"Reels, TikTok, Stories"
SHOT-004,Food,Family-style dinner handoff,horizontal and vertical,pickup and email crossover,P1,Show several real dishes without inventing a bundle.,"Current dishes, takeout bag","Feed, Facebook, email, paid"
SHOT-005,Food,Seasonal item macro and full plate,vertical and square,limited menu campaign,P1,Record approval date and publish-by date with the shot.,Verified seasonal item,"all social, GBP, paid"
SHOT-006,Bakery,Morning case restock,vertical,same-day Story and Reel,P0,Capture location and time; do not imply lasting stock.,"Fresh trays, case cloth","Stories, Reels, GBP"
SHOT-007,Bakery,Bakery case full scan,vertical and horizontal,location and menu proof,P0,Slow scan with no fast whip pan.,Current case,"Reels, Feed, web, GBP"
SHOT-008,Bakery,Tray pull from oven or rack,vertical,process content,P1,"Film only a safe, real production step.","Tray, oven mitts","Reels, TikTok, Shorts"
SHOT-009,Bakery,Bakery box closing,vertical and square,take-home and gifting,P1,Logo faces camera and hands stay natural.,"Current box, bakery item","Feed, Stories, paid"
SHOT-010,Bakery,Staff bakery pick,vertical,human recommendation,P1,"Record name, location, item, and consent.",Current case item,"Reels, TikTok, Stories"
SHOT-011,Patticake,Full cake turntable,vertical and square,product hero,P0,Use soft side light and preserve buttercream texture.,"Patticake, simple stand","Feed, Reels, paid, Pinterest"
SHOT-012,Patticake,First slice lift,vertical,core motion proof,P0,Hold the clean layer reveal for at least two seconds.,"Patticake, knife, server","Reels, TikTok, Shorts, paid"
SHOT-013,Patticake,Layer macro,vertical and horizontal,product proof and web crossover,P0,Keep focus on chocolate layers and vanilla buttercream.,"Fresh slice, white plate",all channels
SHOT-014,Patticake,Gift note placement,vertical,gifting process,P0,Do not show private names unless approved.,"Blank or approved note, box","Reels, Stories, paid"
SHOT-015,Patticake,Top-view buttercream,square and 2:3,Pinterest and feed,P1,Keep the top visible and the background neutral.,"Patticake, simple surface","Pinterest, Feed, GBP"
SHOT-016,Catering,Box lunch assembly line,vertical and horizontal,process and lead ad,P0,Show labels and final check without private names.,"Boxes, current food, labels","Reels, LinkedIn, paid"
SHOT-017,Catering,Finished meeting spread,horizontal and vertical,lead conversion hero,P0,Show the whole room and one food detail.,"Trays, plates, napkins","LinkedIn, Facebook, Feed, paid"
SHOT-018,Catering,Bakery add-on tray,vertical and square,basket-building creative,P0,Place in real meeting context.,"Bakery tray, coffee, plates","Reels, LinkedIn, GBP"
SHOT-019,Catering,Catering pickup handoff,vertical,operational proof,P1,Use a manageable real order and no capacity claim.,Packed catering order,"Reels, Stories, paid"
SHOT-020,Catering,Planner checklist with food proof,vertical and 4:5,carousel and lead ad,P1,Blur private event details.,"Notebook, catering menu, food","Feed, LinkedIn, Pinterest"
SHOT-021,Locations,Each storefront straight-on,vertical and horizontal,location identification,P0,Shoot in open light with signage readable.,Clean exterior,"Feed, Reels, GBP, paid"
SHOT-022,Locations,Front door walk-in,vertical,location POV,P0,Stable walk with no identifiable guest faces.,Storefront and entry,"Reels, TikTok, Stories"
SHOT-023,Locations,Dining room wide,horizontal and vertical,room and family context,P1,Use a real service period or a clean empty-room moment.,Current dining room,"Feed, Facebook, GBP, web"
SHOT-024,Locations,Pickup counter,vertical,conversion proof,P0,Capture check and handoff.,Real order and counter,"Reels, paid, Stories"
SHOT-025,Locations,Parking-to-door route,vertical,practical location Story,P2,Do not block traffic or show license plates.,Exterior route,"Stories, GBP"
SHOT-026,Staff,Staff portrait in work context,vertical and square,human brand post,P0,Get written consent and record name/location.,"Work area, clean uniform","Feed, LinkedIn, GBP"
SHOT-027,Staff,One staff favorite explanation,vertical,recommendation Reel,P0,Record item availability and publish window.,Current menu item,"Reels, TikTok, Stories"
SHOT-028,Staff,Kitchen handoff between team members,vertical,process proof,P1,Film real workflow without disrupting service.,Real order,"Reels, Shorts"
SHOT-029,Staff,Baker finishing a real item,vertical and horizontal,craft content,P0,Show one precise step and the result.,Current bakery item,"Reels, Feed, web"
SHOT-030,Staff,Counter thank-you moment,vertical,hospitality proof,P1,No scripted cheer. Keep guest anonymous or consented.,Pickup order,"Stories, Reels"
SHOT-031,Customers and hands,Hands sharing the first cake slice,vertical,celebration proof,P0,Consent required; faces optional.,"Patticake, plates, server","Reels, Feed, paid"
SHOT-032,Customers and hands,Order pickup handoff,vertical,local order conversion,P0,Keep names and receipts out of frame.,Real takeout bag,"Reels, Stories, paid"
SHOT-033,Customers and hands,Family serving dinner,horizontal and vertical,home occasion,P1,Use real food and natural interaction.,Current yum! dishes,"Facebook, Feed, email"
SHOT-034,Customers and hands,Meeting attendees serving plates,horizontal and vertical,catering proof,P1,Get permission from visible people.,Real catering spread,"LinkedIn, Reels, paid"
SHOT-035,Customers and hands,Recipient opening gift note,vertical,Patticake gifting,P0,Hide private text unless approved.,Gift box and note,"Reels, TikTok, paid"
SHOT-036,Packaging,Patticake box open and close,vertical,shipping process,P0,Use current packaging only.,Current box and inserts,"Reels, TikTok, Shorts"
SHOT-037,Packaging,yum! takeout bag at counter,vertical and square,pickup proof,P0,"Logo clear, receipt hidden.",Current bag and order,"Feed, Reels, paid"
SHOT-038,Packaging,Catering labels and stack,vertical,planner proof,P1,Use generic or approved names.,Boxes and labels,"LinkedIn, Reels"
SHOT-039,Packaging,Gift card purchase on phone,vertical,gift card conversion,P1,Use test data and hide payment details.,"Phone, food backdrop","Stories, Reels, paid"
SHOT-040,Packaging,Bakery box on home table,horizontal and vertical,take-home occasion,P1,Open into real product reveal.,Bakery box and table,"Feed, Facebook, email"
SHOT-041,Gifting,Thank-you note and Patticake box,2:3 and vertical,gift campaign hero,P0,Use approved or generic note text.,"Gift box, note, ribbon","Pinterest, Feed, paid"
SHOT-042,Gifting,Client gift boxes in a row,horizontal and vertical,corporate gifting,P0,Avoid fake quantities; show what is real.,Multiple current boxes,"LinkedIn, paid, Feed"
SHOT-043,Gifting,Birthday pickup in car,vertical,local pickup POV,P1,Vehicle stationary; box secure; no unsafe filming.,Box and passenger seat,"TikTok, Reels, Stories"
SHOT-044,Gifting,Former local opens cake,vertical,nostalgia gifting,P1,Get recipient consent and real reaction.,"Delivered box, note, cake","Reels, Facebook, paid"
SHOT-045,Gifting,Gift card and handwritten note,square and 4:5,always-on gift card,P1,Keep note recipient-specific but non-private.,"Gift card, note, food","Feed, Facebook, GBP"
SHOT-046,Weddings and events,Tiered cake in full room,2:3 and vertical,event context,P0,Permission from venue and client required.,Real event cake and room,"Pinterest, Feed, paid"
SHOT-047,Weddings and events,Piping and floral detail,2:3 and vertical,inspiration and proof,P0,Do not over-style or add fake florals.,Event cake details,"Pinterest, Reels"
SHOT-048,Weddings and events,Cake cut,vertical,motion centerpiece,P0,Capture wide and macro angles with consent.,"Knife, cake, couple or host hands","Reels, Shorts, paid"
SHOT-049,Weddings and events,Plated event slice,vertical and square,layer proof,P1,Keep plate and table real to event.,"Slice, plate, fork","Feed, Pinterest, Stories"
SHOT-050,Weddings and events,Planner inquiry setup,4:5 and vertical,lead-generation checklist,P1,Blur private timeline details.,"Notebook, cake photo, calendar","Feed, Pinterest, paid"
SHOT-051,Seasonal,Verified seasonal item hero,vertical and square,campaign launch,P0,"Log approval, start date, and end date.",Current item and simple prop,all channels
SHOT-052,Seasonal,Holiday gift packing,vertical,deadline campaign,P0,Use only after deadline and packaging confirmation.,Current gift packaging,"Reels, Stories, paid"
SHOT-053,Seasonal,Graduation cake message,vertical and 2:3,occasion demand,P1,Use approved generic message or real consent.,Cake and graduation prop,"Reels, Pinterest, Feed"
SHOT-054,Seasonal,Teacher thank-you setup,vertical and square,seasonal gifting,P1,Avoid school logos without permission.,"Note, box, cake","Feed, Facebook, Pinterest"
SHOT-055,Seasonal,Rainy or snowy pickup,vertical,weather-relevant local order,P2,Film safely from indoors or while stationary.,"Weather window, pickup bag","Stories, Reels, GBP"
